"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Ful","Fulham",46,63,90,1,1,46,1.96
"Bou","Bournemouth",46,35,88,2,2,46,1.91
"Hud","Huddersfield Town",46,17,82,3,3,46,1.78
"Not","Nottingham Forest",46,33,80,4,4,46,1.74
"ShU","Sheffield Utd",46,18,75,5,5,46,1.63
"Lut","Luton Town",46,8,75,6,6,46,1.63
"Mid","Middlesbrough",46,9,70,7,7,46,1.52
"BbR","Blackburn Rovers",46,9,69,8,8,46,1.5
"Mil","Millwall",46,8,69,9,9,46,1.5
"WBA","West Brom",46,7,67,10,10,46,1.46
"QPR","QPR",46,1,66,11,11,46,1.43
"Cov","Coventry City",46,1,64,12,12,46,1.39
"PNE","Preston NE",46,-4,64,13,13,46,1.39
"Sto","Stoke City",46,5,62,14,14,46,1.35
"Swa","Swansea City",46,-10,61,15,15,46,1.33
"Bpl","Blackpool",46,-4,60,16,16,46,1.3
"Bri","Bristol City",46,-15,55,17,17,46,1.2
"Car","Cardiff City",46,-18,53,18,18,46,1.15
"Hul","Hull City",46,-13,51,19,19,46,1.11
"Bir","Birmingham City",46,-25,47,20,20,46,1.02
"Rea","Reading",46,-33,41,21,21,46,0.89
"Pet","Peterborough",46,-44,37,22,22,46,0.8
"Der","Derby County",46,-8,34,23,23,46,0.74
"Bar","Barnsley",46,-40,30,24,24,46,0.65
