"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Int","Inter",36,54,85,1,1,35.8,2.38
"Nap","Napoli",36,18,70,2,2,35.7,1.96
"Juv","Juventus",36,29,68,3,3,35.9,1.9
"Rom","Roma",36,24,67,5,4,35.5,1.89
"Mil","Milan",36,18,67,4,5,35.6,1.88
"Com","Como 1907",36,32,65,6,6,35.7,1.82
"Ata","Atalanta",36,16,58,7,7,36,1.61
"Laz","Lazio",36,2,51,9,8,35.9,1.42
"Bol","Bologna",36,2,52,8,9,36.8,1.41
"Udi","Udinese",36,-1,50,10,10,36.2,1.38
"Sas","Sassuolo",36,-2,49,11,11,35.4,1.38
"Tor","Torino",36,-18,44,12,12,36.3,1.21
"Par","Parma",36,-18,42,13,13,36.3,1.16
"Gen","Genoa",36,-8,41,14,14,36.1,1.13
"Fir","Fiorentina",36,-11,38,15,15,36.6,1.04
"Cag","Cagliari",36,-15,37,16,16,36,1.03
"Lec","Lecce",36,-24,32,17,17,36,0.89
"Cre","Cremonese",36,-23,31,18,18,36.4,0.85
"Ver","Verona",36,-34,20,19,19,37.2,0.54
"Pis","AC Pisa",36,-41,18,20,20,36.6,0.49
