"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Bur","Burnley",46,52,101,1,1,46,2.2
"ShU","Sheffield Utd",46,34,91,2,2,46,1.98
"Lut","Luton",46,18,80,3,3,46,1.74
"Mid","Middlesbrough",46,28,75,4,4,46,1.63
"Cov","Coventry",46,12,70,5,5,46,1.52
"Sun","Sunderland",46,13,69,6,6,46,1.5
"Bbn","Blackburn",46,-2,69,7,7,46,1.5
"Mil","Millwall",46,7,68,8,8,46,1.48
"WBA","West Brom",46,6,66,9,9,46,1.43
"Swa","Swansea",46,4,66,10,10,46,1.43
"Wat","Watford",46,3,63,11,11,46,1.37
"PNE","Preston",46,-14,63,12,12,46,1.37
"Nor","Norwich",46,3,62,13,13,46,1.35
"BrC","Bristol City",46,-1,59,14,14,46,1.28
"Hul","Hull",46,-10,58,15,15,46,1.26
"Sto","Stoke",46,1,53,16,16,46,1.15
"Bir","Birmingham",46,-11,53,17,17,46,1.15
"Hud","Huddersfield",46,-15,53,18,18,46,1.15
"Rot","Rotherham",46,-11,50,19,19,46,1.09
"QPR","QPR",46,-27,50,20,20,46,1.09
"Car","Cardiff",46,-17,49,21,21,46,1.07
"Rea","Reading",46,-22,44,22,22,46,0.96
"Bpl","Blackpool",46,-24,44,23,23,46,0.96
"Wig","Wigan",46,-27,42,24,24,46,0.91
