"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"PSG","PSG",38,54,86,1,1,38,2.26
"Mar","Marseille",38,25,71,2,2,38,1.87
"Mco","Monaco",38,25,69,3,3,38,1.82
"Ren","Rennes",38,42,66,4,4,38,1.74
"Nic","Nice",38,16,66,5,5,38,1.74
"Str","Strasbourg",38,17,63,6,6,38,1.66
"Len","Lens",38,14,62,7,7,38,1.63
"Lyo","Lyon",38,15,61,8,8,38,1.61
"Nan","Nantes",38,7,55,9,9,38,1.45
"Lil","Lille",38,0,55,10,10,38,1.45
"Bre","Brest",38,-8,48,11,11,38,1.26
"Rei","Reims",38,-1,46,12,12,38,1.21
"Mtp","Montpellier",38,-12,43,13,13,38,1.13
"Ang","Angers",38,-11,41,14,14,38,1.08
"Tro","Troyes",38,-16,38,15,15,38,1
"Lor","Lorient",38,-28,36,16,16,38,0.95
"Cle","Clermont Foot",38,-31,36,17,17,38,0.95
"StE","Saint-Étienne",38,-35,32,18,18,38,0.84
"Mtz","Metz",38,-34,31,19,19,38,0.82
"Bor","Bordeaux",38,-39,31,20,20,38,0.82
