"","HA","vs","sched","cumulative"
"1","A","MnU",0.81,0.81
"2","A","Sot",-0.37,0.43
"3","A","New",0.27,0.7
"4","H","Hud",-0.65,0.05
"5","A","WBA",0.29,0.34
"6","H","Tot",0.41,0.75
"7","H","Swa",-1.28,-0.53
"8","A","Bur",0.64,0.12
"9","H","BHA",-0.3,-0.18
"10","A","Cry",-2.08,-2.26
"11","H","Liv",0.38,-1.88
"12","A","Wat",0.53,-1.34
"13","H","Lei",-0.57,-1.92
"14","A","Eve",0.41,-1.51
"15","A","MnC",0.88,-0.63
"16","H","Che",0.55,-0.07
"17","H","Ars",0.35,0.27
"18","A","Sto",0.37,0.65
"19","H","New",-0.21,0.44
"20","A","Bou",-0.3,0.14
"21","A","Tot",0.67,0.81
"22","H","WBA",-0.18,0.63
"23","A","Hud",-0.13,0.5
"24","H","Bou",-0.81,-0.31
"25","H","Cry",-2.08,-2.39
"26","A","BHA",0.2,-2.19
"27","H","Wat",0.17,-2.03
"28","A","Liv",0.66,-1.37
"29","A","Swa",-0.87,-2.24
"30","H","Bur",0.36,-1.88
"31","H","MnU",0.67,-1.21
"32","H","Sot",-0.87,-2.08
"33","A","Che",0.75,-1.33
"34","H","Sto",-0.07,-1.4
"35","A","Ars",0.64,-0.76
"36","H","MnC",0.83,0.07
"37","A","Lei",-0.05,0.02
"38","H","Eve",-0.02,0
