"","HA","vs","sched","cumulative"
"1","H","Liv",0.26,0.26
"2","A","Bou",-0.47,-0.2
"3","H","BHA",-0.52,-0.72
"4","A","Sot",-0.52,-1.24
"5","H","MnC",1.34,0.09
"6","A","Swa",-0.86,-0.77
"7","A","WBA",0.19,-0.58
"8","H","Ars",0.21,-0.37
"9","A","Che",1.13,0.75
"10","H","Sto",-0.31,0.44
"11","A","Eve",0.39,0.83
"12","H","WHU",-0.74,0.09
"13","A","New",0.16,0.25
"14","H","MnU",0.88,1.13
"15","H","Tot",0.31,1.44
"16","A","Bur",0.87,2.3
"17","A","Cry",-1.37,0.93
"18","H","Hud",-0.76,0.17
"19","A","BHA",0.06,0.23
"20","H","Lei",-0.71,-0.48
"21","H","Swa",-1.09,-1.57
"22","A","MnC",1.51,-0.06
"23","H","Sot",-0.89,-0.95
"24","A","Lei",-0.23,-1.18
"25","A","Sto",0.32,-0.86
"26","H","Che",0.59,-0.27
"27","A","WHU",-0.27,-0.54
"28","H","Eve",-0.26,-0.8
"29","H","WBA",-0.42,-1.22
"30","A","Ars",0.85,-0.37
"31","A","Liv",0.89,0.53
"32","H","Bou",-0.86,-0.33
"33","H","Bur",0.23,-0.1
"34","A","Hud",-0.31,-0.42
"35","H","Cry",-1.37,-1.78
"36","A","Tot",0.93,-0.85
"37","H","New",-0.44,-1.3
"38","A","MnU",1.3,0
