"","HA","vs","sched","cumulative"
"1","H","Hud",0,0
"2","A","Liv",0,0
"3","H","Swa",0,0
"4","A","Bur",0,0
"5","H","Sot",0,0
"6","A","MnC",0,0
"7","A","MnU",0,0
"8","H","Che",0,0
"9","A","New",0,0
"10","H","WHU",0,0
"11","A","Tot",0,0
"12","H","Eve",0,0
"13","H","Sto",0,0
"14","A","BHA",0,0
"15","A","WBA",0,0
"16","H","Bou",0,0
"17","H","Wat",0,0
"18","A","Lei",0,0
"19","A","Swa",0,0
"20","H","Ars",0,0
"21","H","MnC",0,0
"22","A","Sot",0,0
"23","H","Bur",0,0
"24","A","Ars",0,0
"25","A","WHU",0,0
"26","H","New",0,0
"27","A","Eve",0,0
"28","H","Tot",0,0
"29","H","MnU",0,0
"30","A","Che",0,0
"31","A","Hud",0,0
"32","H","Liv",0,0
"33","A","Bou",0,0
"34","H","BHA",0,0
"35","A","Wat",0,0
"36","H","Lei",0,0
"37","A","Sto",0,0
"38","H","WBA",0,0
