"fdo_id","fdo_name","short_name","abbrev","sky_name","BBC_name","deduction"
77,"Athletic Club","Athletic","ATH",NA,NA,0
78,"Club Atlético de Madrid","Atleti","ATL",NA,NA,0
79,"CA Osasuna","Osasuna","OSA",NA,NA,0
80,"RCD Espanyol de Barcelona","Espanyol","ESP",NA,NA,0
81,"FC Barcelona","Barça","FCB",NA,NA,0
82,"Getafe CF","Getafe","GET",NA,NA,0
86,"Real Madrid CF","Real Madrid","RMA",NA,NA,0
87,"Rayo Vallecano de Madrid","Rayo Vallecano","RAY",NA,NA,0
89,"RCD Mallorca","Mallorca","MAL",NA,NA,0
90,"Real Betis Balompié","Real Betis","BET",NA,NA,0
92,"Real Sociedad de Fútbol","Real Sociedad","RSO",NA,NA,0
94,"Villarreal CF","Villarreal","VIL",NA,NA,0
95,"Valencia CF","Valencia","VAL",NA,NA,0
250,"Real Valladolid CF","Valladolid","VDD",NA,NA,0
264,"Cádiz CF","Cádiz CF","CAD",NA,NA,0
267,"UD Almería","Almería","ALM",NA,NA,0
285,"Elche CF","Elche","ELC",NA,NA,0
298,"Girona FC","Girona","GIR",NA,NA,0
558,"RC Celta de Vigo","Celta","CEL",NA,NA,0
559,"Sevilla FC","Sevilla FC","SEV",NA,NA,0
