"team","teamId","playedGames","goalDifference","points","rank"
"Manchester City FC",65,38,73,93,1
"Liverpool FC",64,38,68,92,2
"Chelsea FC",61,38,43,74,3
"Tottenham Hotspur FC",73,38,29,71,4
"Arsenal FC",57,38,13,69,5
"Manchester United FC",66,38,0,58,6
"West Ham United FC",563,38,9,56,7
"Leicester City FC",338,38,3,52,8
"Brighton & Hove Albion",397,38,-2,51,9
"Wolverhampton Wanderers",76,38,-5,51,10
"Newcastle United FC",67,38,-18,49,11
"Crystal Palace FC",354,38,4,48,12
"Brentford FC",402,38,-8,46,13
"Aston Villa FC",58,38,-2,45,14
"Southampton FC",340,38,-24,40,15
"Everton FC",62,38,-23,39,16
"Leeds United FC",341,38,-37,38,17
"Burnley FC",328,38,-19,35,18
"Watford FC",346,38,-43,23,19
"Norwich City FC",68,38,-61,22,20
