"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Dor","Dortmund",32,36,67,2,1,31.9,2.1
"Mun","Bayern Munich",33,53,68,1,2,33,2.06
"Lei","RB Leipzig",33,21,63,3,3,32.7,1.93
"UnB","Union Berlin",33,12,59,4,4,32.8,1.8
"Fbg","Freiburg",33,8,59,5,5,33.2,1.78
"Lev","Leverkusen",32,11,49,6,6,31.5,1.56
"Wol","Wolfsburg",33,10,49,7,7,32.4,1.51
"Fra","Frankfurt",33,5,47,8,8,33.1,1.42
"Mai","Mainz",32,2,45,9,9,32.3,1.39
"Kln","Köln",33,-4,42,10,10,33.5,1.25
"BMg","M'gladbach",32,-5,39,11,11,31.8,1.23
"Bre","Bremen",33,-12,36,12,12,33.4,1.08
"Hof","Hoffenheim",33,-9,35,13,13,32.9,1.06
"Aug","Augsburg",32,-16,34,14,14,32.6,1.04
"Boc","Bochum",33,-35,32,15,15,33,0.97
"Sch","Schalke",33,-34,31,16,16,33.7,0.92
"Stu","Stuttgart",32,-15,29,17,17,31.6,0.92
"Her","Hertha Berlin",33,-28,26,18,18,33.5,0.78
