"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Ben","Benfica",34,62,87,1,1,34,2.56
"Pto","FC Porto",34,51,85,2,2,34,2.5
"Bra","Sporting Braga",34,45,78,3,3,34,2.29
"Spo","Sporting Lisbon",34,39,74,4,4,34,2.18
"Aro","Arouca",34,-1,54,5,5,34,1.59
"Gui","Vitória Guimarães",34,-5,53,6,6,34,1.56
"Cha","Chaves",34,-5,46,7,7,34,1.35
"Fam","FC Famalicão",34,-8,44,8,8,34,1.29
"Boa","Boavista",34,-11,44,9,9,34,1.29
"Cas","Casa Pia",34,-9,41,10,10,34,1.21
"Viz","Vizela",34,-4,40,11,11,34,1.18
"Rio","Rio Ave",34,-7,40,12,12,34,1.18
"Gil","Gil Vicente",34,-9,37,13,13,34,1.09
"Est","Estoril Praia",34,-16,35,14,14,34,1.03
"Pse","Portimonense",34,-23,34,15,15,34,1
"Mar","Marítimo",34,-31,26,16,16,34,0.76
"Pac","Paços de Ferreira",34,-36,23,17,17,34,0.68
"SCl","Santa Clara",34,-32,22,18,18,34,0.65
